,Unnamed: 0,carat,cut,color,clarity,depth,table,price,x,y,clarity_n,color_n,z
47,48,0.32,Good,H,SI2,63.8,56.0,403,4.36,4.38,1,4,2.78806
48,49,0.25,Very Good,E,VS2,63.3,60.0,404,4.0,4.03,3,1,2.5414950000000003
49,50,0.29,Very Good,H,SI2,60.7,60.0,404,4.33,4.37,1,4,2.6404499999999995
50,51,0.24,Very Good,F,SI1,60.9,61.0,404,4.02,4.03,2,2,2.451225
51,52,0.23,Ideal,G,VS1,61.9,54.0,404,3.93,3.95,4,3,2.43886
52,53,0.32,Ideal,I,SI1,60.9,55.0,404,4.45,4.48,2,5,2.719185
53,54,0.22,Premium,E,VS2,61.6,58.0,404,3.93,3.89,3,1,2.40856
54,55,0.22,Premium,D,VS2,59.3,62.0,404,3.91,3.88,3,0,2.309735
55,56,0.3,Ideal,I,SI2,61.0,59.0,405,4.3,4.33,1,5,2.6321499999999998
56,57,0.3,Premium,J,SI2,59.3,61.0,405,4.43,4.38,1,6,2.6121649999999996
57,58,0.3,Very Good,I,SI1,62.6,57.0,405,4.25,4.28,2,5,2.6698900000000005
58,59,0.3,Very Good,I,SI1,63.0,57.0,405,4.28,4.32,2,5,2.7090000000000005
59,60,0.3,Good,I,SI1,63.2,55.0,405,4.25,4.29,2,5,2.6986399999999997
60,61,0.35,Ideal,I,VS1,60.9,57.0,552,4.54,4.59,4,5,2.7800849999999997
61,62,0.3,Premium,D,SI1,62.6,59.0,552,4.23,4.27,2,0,2.6605
62,63,0.3,Ideal,D,SI1,62.5,57.0,552,4.29,4.32,2,0,2.690625
63,64,0.3,Ideal,D,SI1,62.1,56.0,552,4.3,4.33,2,0,2.6796149999999996
64,65,0.42,Premium,I,SI2,61.5,59.0,552,4.78,4.84,1,5,2.9581500000000003
65,66,0.28,Ideal,G,VVS2,61.4,56.0,553,4.19,4.22,5,3,2.58187
66,67,0.32,Ideal,I,VVS1,62.0,55.3,553,4.39,4.42,6,5,2.7310999999999996
67,68,0.31,Very Good,G,SI1,63.3,57.0,553,4.33,4.3,2,3,2.7313949999999996
68,69,0.31,Premium,G,SI1,61.8,58.0,553,4.35,4.32,2,3,2.67903
69,70,0.24,Premium,E,VVS1,60.7,58.0,553,4.01,4.03,6,1,2.4401399999999995
70,71,0.24,Very Good,D,VVS1,61.5,60.0,553,3.97,4.0,6,0,2.450775
71,72,0.3,Very Good,H,SI1,63.1,56.0,554,4.29,4.27,2,4,2.7006799999999997
72,73,0.3,Premium,H,SI1,62.9,59.0,554,4.28,4.24,2,4,2.67954
73,74,0.3,Premium,H,SI1,62.5,57.0,554,4.29,4.25,2,4,2.6687499999999997
74,75,0.3,Good,H,SI1,63.7,57.0,554,4.28,4.26,2,4,2.7199899999999997
75,76,0.26,Very Good,F,VVS2,59.2,60.0,554,4.19,4.22,5,2,2.4893600000000005
76,77,0.26,Very Good,E,VVS2,59.9,58.0,554,4.15,4.23,5,1,2.5098100000000003
77,78,0.26,Very Good,D,VVS2,62.4,54.0,554,4.08,4.13,5,0,2.5615200000000002
78,79,0.26,Very Good,D,VVS2,62.8,60.0,554,4.01,4.05,5,0,2.5308399999999995
79,80,0.26,Very Good,E,VVS1,62.6,59.0,554,4.06,4.09,6,1,2.5509499999999994
80,81,0.26,Very Good,E,VVS1,63.4,59.0,554,4.0,4.04,6,1,2.5486799999999996
81,82,0.26,Very Good,D,VVS1,62.1,60.0,554,4.03,4.12,6,0,2.5305750000000002
82,83,0.26,Ideal,E,VVS2,62.9,58.0,554,4.02,4.06,5,1,2.5411599999999996
83,84,0.38,Ideal,I,SI2,61.6,56.0,554,4.65,4.67,1,5,2.8705600000000002
84,85,0.26,Good,E,VVS1,57.9,60.0,554,4.22,4.25,6,1,2.4520649999999997
85,86,0.24,Premium,G,VVS1,62.3,59.0,554,3.95,3.92,6,3,2.451505
86,87,0.24,Premium,H,VVS1,61.2,58.0,554,4.01,3.96,6,4,2.4388199999999998
87,88,0.24,Premium,H,VVS1,60.8,59.0,554,4.02,4.0,6,4,2.43808
88,89,0.24,Premium,H,VVS2,60.7,58.0,554,4.07,4.04,5,4,2.461385
89,90,0.32,Premium,I,SI1,62.9,58.0,554,4.35,4.33,2,5,2.72986
90,91,0.7,Ideal,E,SI1,62.5,57.0,2757,5.7,5.72,2,1,3.56875
91,92,0.86,Fair,E,SI2,55.1,69.0,2757,6.45,6.33,1,1,3.5208900000000005
92,93,0.7,Ideal,G,VS2,61.6,56.0,2757,5.7,5.67,3,3,3.5019600000000004
93,94,0.71,Very Good,E,VS2,62.4,57.0,2759,5.68,5.73,3,1,3.55992
94,95,0.78,Very Good,G,SI2,63.8,56.0,2759,5.81,5.85,1,3,3.7195400000000003
95,96,0.7,Good,E,VS2,57.5,58.0,2759,5.85,5.9,3,1,3.378125
96,97,0.7,Good,F,VS1,59.4,62.0,2759,5.71,5.76,4,2,3.4065899999999996
97,98,0.96,Fair,F,SI2,66.3,62.0,2759,6.27,5.95,1,2,4.050929999999999
98,99,0.73,Very Good,E,SI1,61.6,59.0,2760,5.77,5.78,2,1,3.5574000000000003
99,100,0.8,Premium,H,SI1,61.5,58.0,2760,5.97,5.93,2,4,3.6592499999999997
100,101,0.75,Very Good,D,SI1,63.2,56.0,2760,5.8,5.75,2,0,3.6498000000000004
101,102,0.75,Premium,E,SI1,59.9,54.0,2760,6.0,5.96,2,1,3.58202
102,103,0.74,Ideal,G,SI1,61.6,55.0,2760,5.8,5.85,2,3,3.5881999999999996
103,104,0.75,Premium,G,VS2,61.7,58.0,2760,5.85,5.79,3,3,3.5909400000000002
104,105,0.8,Ideal,I,VS1,62.9,56.0,2760,5.94,5.87,4,5,3.714245
105,106,0.75,Ideal,G,SI1,62.2,55.0,2760,5.87,5.8,2,3,3.6293699999999998
106,107,0.8,Premium,G,SI1,63.0,59.0,2760,5.9,5.81,2,3,3.6886500000000004
107,108,0.74,Ideal,I,VVS2,62.3,55.0,2761,5.77,5.81,5,5,3.6071699999999995
108,109,0.81,Ideal,F,SI2,58.8,57.0,2761,6.14,6.11,1,2,3.6014999999999997
109,110,0.59,Ideal,E,VVS2,62.0,55.0,2761,5.38,5.43,5,1,3.3510999999999997
110,111,0.8,Ideal,F,SI2,61.4,57.0,2761,5.96,6.0,1,2,3.67172
111,112,0.74,Ideal,E,SI2,62.2,56.0,2761,5.8,5.84,1,1,3.6200400000000004
112,113,0.9,Premium,I,VS2,63.0,58.0,2761,6.16,6.12,3,5,3.8682000000000003
113,114,0.74,Very Good,G,SI1,62.2,59.0,2762,5.73,5.82,2,3,3.5920500000000004
114,115,0.73,Ideal,F,VS2,62.6,56.0,2762,5.77,5.74,3,2,3.60263
115,116,0.73,Ideal,F,VS2,62.7,53.0,2762,5.8,5.75,3,2,3.620925
116,117,0.8,Premium,F,SI2,61.7,58.0,2762,5.98,5.94,1,2,3.6773200000000004
117,118,0.71,Ideal,G,VS2,62.4,54.0,2762,5.72,5.76,3,3,3.58176
118,119,0.7,Ideal,E,VS2,60.7,58.0,2762,5.73,5.76,3,1,3.487215
119,120,0.8,Ideal,F,SI2,59.9,59.0,2762,6.01,6.07,1,2,3.61796
120,121,0.71,Ideal,D,SI2,62.3,56.0,2762,5.73,5.69,1,0,3.5573300000000003
121,122,0.74,Ideal,E,SI1,62.3,54.0,2762,5.8,5.83,2,1,3.6227449999999997
122,123,0.7,Very Good,F,VS2,61.7,63.0,2762,5.64,5.61,3,2,3.470625
123,124,0.7,Fair,F,VS2,64.5,57.0,2762,5.57,5.53,3,2,3.5797500000000007
124,125,0.7,Fair,F,VS2,65.3,55.0,2762,5.63,5.58,3,2,3.6600650000000003
125,126,0.7,Premium,F,VS2,61.6,60.0,2762,5.65,5.59,3,2,3.46192
126,127,0.91,Premium,H,SI1,61.4,56.0,2763,6.09,5.97,2,4,3.7024199999999996
127,128,0.61,Very Good,D,VVS2,59.6,57.0,2763,5.56,5.58,5,0,3.3197200000000002
128,129,0.91,Fair,H,SI2,64.4,57.0,2763,6.11,6.09,1,4,3.9284
129,130,0.91,Fair,H,SI2,65.7,60.0,2763,6.03,5.99,1,4,3.94857
130,131,0.77,Ideal,H,VS2,62.0,56.0,2763,5.89,5.86,3,4,3.6425
131,132,0.71,Very Good,D,SI1,63.6,58.0,2764,5.64,5.68,2,0,3.5997600000000003
132,133,0.71,Ideal,D,SI1,61.9,59.0,2764,5.69,5.72,2,0,3.531395
133,134,0.7,Very Good,E,VS2,62.6,60.0,2765,5.62,5.65,3,1,3.52751
134,135,0.77,Very Good,H,VS1,61.3,60.0,2765,5.88,5.9,4,4,3.6105700000000005
135,136,0.63,Premium,E,VVS1,60.9,60.0,2765,5.52,5.55,6,1,3.370815
136,137,0.71,Very Good,F,VS1,60.1,62.0,2765,5.74,5.77,4,2,3.458755
137,138,0.71,Premium,F,VS1,61.8,59.0,2765,5.69,5.73,4,2,3.5287800000000007
138,139,0.76,Ideal,H,SI1,61.2,57.0,2765,5.88,5.91,2,4,3.6077399999999997
139,140,0.64,Ideal,G,VVS1,61.9,56.0,2766,5.53,5.56,6,3,3.432355
140,141,0.71,Premium,G,VS2,60.9,57.0,2766,5.78,5.75,3,3,3.5108850000000005
141,142,0.71,Premium,G,VS2,59.8,56.0,2766,5.89,5.81,3,3,3.4982999999999995
142,143,0.7,Very Good,D,VS2,61.8,55.0,2767,5.68,5.72,3,0,3.5225999999999997
143,144,0.7,Very Good,F,VS1,60.0,57.0,2767,5.8,5.87,4,2,3.501
144,145,0.71,Ideal,D,SI2,61.6,55.0,2767,5.74,5.76,1,0,3.542
145,146,0.7,Good,H,VVS2,62.1,64.0,2767,5.62,5.65,5,4,3.499335
146,147,0.71,Very Good,G,VS1,63.3,59.0,2768,5.52,5.61,4,3,3.522645
147,148,0.73,Very Good,D,SI1,60.2,56.0,2768,5.83,5.87,2,0,3.5216999999999996
148,149,0.7,Very Good,D,SI1,61.1,58.0,2768,5.66,5.73,2,0,3.479645
149,150,0.7,Ideal,E,SI1,60.9,57.0,2768,5.73,5.76,2,1,3.498705
150,151,0.71,Premium,D,SI2,61.7,59.0,2768,5.71,5.67,1,0,3.5107299999999997
151,152,0.74,Ideal,I,SI1,61.3,56.0,2769,5.82,5.86,2,5,3.57992
152,153,0.71,Premium,D,VS2,62.5,60.0,2770,5.65,5.61,3,0,3.5187500000000007
153,154,0.73,Premium,G,VS2,61.4,59.0,2770,5.83,5.76,3,3,3.55813
154,155,0.76,Very Good,F,SI1,62.9,57.0,2770,5.79,5.81,2,2,3.6482
155,156,0.76,Ideal,D,SI2,62.4,57.0,2770,5.78,5.83,1,0,3.6223199999999998
156,157,0.71,Ideal,F,SI1,60.7,56.0,2770,5.77,5.8,2,2,3.511495
157,158,0.73,Premium,G,VS2,60.7,58.0,2770,5.87,5.82,3,3,3.547915
158,159,0.73,Premium,G,VS1,61.5,58.0,2770,5.79,5.75,4,3,3.5485499999999996
159,160,0.73,Ideal,D,SI2,59.9,57.0,2770,5.92,5.89,1,0,3.5370949999999994
160,161,0.73,Premium,G,VS2,59.2,59.0,2770,5.92,5.87,3,3,3.48984
161,162,0.72,Very Good,H,VVS2,60.3,56.0,2771,5.81,5.83,5,4,3.5094600000000002
162,163,0.73,Very Good,F,SI1,61.7,60.0,2771,5.79,5.82,2,2,3.581685
163,164,0.71,Ideal,G,VS2,61.9,57.0,2771,5.73,5.77,3,3,3.55925
164,165,0.79,Ideal,F,SI2,61.9,55.0,2771,5.97,5.92,1,2,3.679955
165,166,0.73,Very Good,H,VVS1,60.4,59.0,2772,5.83,5.89,6,4,3.5394399999999995
166,167,0.8,Very Good,F,SI2,61.0,57.0,2772,6.01,6.03,1,2,3.6721999999999997
167,168,0.58,Ideal,G,VVS1,61.5,55.0,2772,5.39,5.44,6,3,3.330225
168,169,0.58,Ideal,F,VVS1,61.7,56.0,2772,5.33,5.37,6,2,3.30095
169,170,0.71,Good,E,VS2,59.2,61.0,2772,5.8,5.88,3,1,3.4572800000000004
170,171,0.75,Ideal,D,SI2,61.3,56.0,2773,5.85,5.89,1,0,3.5983099999999997
171,172,0.7,Premium,D,VS2,58.0,62.0,2773,5.87,5.78,3,0,3.3785
172,173,1.17,Very Good,J,I1,60.2,61.0,2774,6.83,6.9,0,6,4.13273
173,174,0.6,Ideal,E,VS1,61.7,55.0,2774,5.41,5.44,4,1,3.3472250000000003
174,175,0.7,Ideal,E,SI1,62.7,55.0,2774,5.68,5.74,2,1,3.58017
175,176,0.83,Good,I,VS2,64.6,54.0,2774,5.85,5.88,3,5,3.7887899999999997
176,177,0.74,Very Good,F,VS2,61.3,61.0,2775,5.8,5.84,3,2,3.56766
177,178,0.72,Very Good,G,VS2,63.7,56.4,2776,5.62,5.69,3,3,3.6022350000000003
178,179,0.71,Premium,E,VS2,62.7,58.0,2776,5.74,5.68,3,1,3.58017
179,180,0.71,Ideal,E,VS2,62.2,57.0,2776,5.79,5.62,3,1,3.54851
180,181,0.54,Ideal,E,VVS2,61.6,56.0,2776,5.25,5.27,5,1,3.24016
181,182,0.54,Ideal,E,VVS2,61.5,57.0,2776,5.24,5.26,5,1,3.22875
182,183,0.72,Ideal,G,SI1,61.8,56.0,2776,5.72,5.75,2,3,3.5442299999999998
183,184,0.72,Ideal,G,SI1,60.7,56.0,2776,5.79,5.82,2,3,3.5236349999999996
184,185,0.72,Good,G,VS2,59.7,60.5,2776,5.8,5.84,3,3,3.47454
185,186,0.71,Ideal,G,SI1,60.5,56.0,2776,5.8,5.76,2,3,3.4968999999999997
186,187,0.7,Very Good,D,VS1,62.7,58.0,2777,5.66,5.73,4,0,3.570765
187,188,0.71,Premium,F,VS2,62.1,58.0,2777,5.67,5.7,3,2,3.5303850000000003
188,189,0.71,Very Good,F,VS2,62.8,57.0,2777,5.64,5.69,3,2,3.55762
189,190,0.71,Good,F,VS2,63.8,58.0,2777,5.61,5.64,3,2,3.58875
190,191,0.71,Good,F,VS2,57.8,60.0,2777,5.87,5.9,3,2,3.4015299999999997
191,192,0.7,Ideal,E,VS2,62.1,55.0,2777,5.7,5.67,3,1,3.5303850000000003
192,193,0.7,Premium,E,VS2,61.1,60.0,2777,5.71,5.64,3,1,3.467425
193,194,0.7,Premium,E,SI1,60.0,59.0,2777,5.79,5.75,2,1,3.4619999999999997
194,195,0.7,Premium,E,SI1,61.2,57.0,2777,5.73,5.68,2,1,3.49146
195,196,0.7,Premium,E,SI1,62.7,59.0,2777,5.67,5.63,2,1,3.5425500000000003
196,197,0.7,Premium,E,SI1,61.0,57.0,2777,5.73,5.68,2,1,3.48005
197,198,0.7,Premium,E,SI1,61.0,58.0,2777,5.78,5.72,2,1,3.5075
198,199,0.7,Ideal,E,SI1,61.4,57.0,2777,5.76,5.7,2,1,3.5182200000000003
199,200,0.72,Premium,F,SI1,61.8,61.0,2777,5.82,5.71,2,2,3.5627700000000004
200,201,0.7,Very Good,E,SI1,59.9,63.0,2777,5.76,5.7,2,1,3.43227
201,202,0.7,Premium,E,SI1,61.3,58.0,2777,5.71,5.68,2,1,3.491035
202,203,0.7,Premium,E,SI1,60.5,58.0,2777,5.77,5.74,2,1,3.481775
203,204,0.7,Good,E,VS2,64.1,59.0,2777,5.64,5.59,3,1,3.5992149999999996
204,205,0.98,Fair,H,SI2,67.9,60.0,2777,6.05,5.97,1,4,4.08079
205,206,0.78,Premium,F,SI1,62.4,58.0,2777,5.83,5.8,2,2,3.62856
206,207,0.7,Very Good,E,SI1,63.2,60.0,2777,5.6,5.51,2,1,3.51076
207,208,0.52,Ideal,F,VVS1,61.3,55.0,2778,5.19,5.22,6,2,3.190665
208,209,0.73,Very Good,H,VS2,60.8,56.0,2779,5.82,5.84,3,4,3.54464
209,210,0.74,Ideal,E,SI1,61.7,56.0,2779,5.84,5.8,2,1,3.5909400000000002
210,211,0.7,Very Good,F,VS2,63.6,57.0,2780,5.61,5.65,3,2,3.5806800000000005
211,212,0.77,Premium,G,VS2,61.2,58.0,2780,5.9,5.93,3,3,3.61998
212,213,0.71,Ideal,F,VS2,62.1,54.0,2780,5.68,5.72,3,2,3.5396999999999994
213,214,0.74,Ideal,G,VS1,61.5,55.0,2780,5.81,5.86,4,3,3.5885249999999997
214,215,0.7,Ideal,G,VS1,61.4,59.0,2780,5.64,5.73,4,3,3.49059
215,216,1.01,Premium,F,I1,61.8,60.0,2781,6.39,6.36,0,2,3.93975
216,217,0.77,Ideal,H,SI1,62.2,56.0,2781,5.83,5.88,2,4,3.6418100000000004
217,218,0.78,Ideal,H,SI1,61.2,56.0,2781,5.92,5.99,2,4,3.64446
218,219,0.72,Very Good,H,VS1,60.6,63.0,2782,5.83,5.76,4,4,3.51177
219,220,0.53,Very Good,D,VVS2,57.5,64.0,2782,5.34,5.37,5,0,3.079125
220,221,0.76,Ideal,G,VS2,61.3,56.0,2782,5.9,5.94,3,3,3.6289599999999997
221,222,0.7,Good,E,VS1,57.2,62.0,2782,5.81,5.77,4,1,3.31188
222,223,0.7,Premium,E,VS1,62.9,60.0,2782,5.62,5.54,4,1,3.50982
223,224,0.75,Very Good,D,SI2,63.1,58.0,2782,5.78,5.73,1,0,3.6314050000000004
224,225,0.72,Ideal,D,SI1,60.8,57.0,2782,5.76,5.75,2,0,3.49904
225,226,0.72,Premium,D,SI1,62.7,59.0,2782,5.73,5.69,2,0,3.5801700000000007
226,227,0.7,Premium,D,SI1,62.8,60.0,2782,5.68,5.66,2,0,3.56076
227,228,0.84,Fair,G,SI1,55.1,67.0,2782,6.39,6.2,2,3,3.468545
228,229,0.75,Premium,F,SI1,61.4,59.0,2782,5.88,5.85,2,2,3.6011100000000003
229,230,0.52,Ideal,F,IF,62.2,55.0,2783,5.14,5.18,7,2,3.20952
230,231,0.72,Very Good,F,VS2,63.0,54.0,2784,5.69,5.73,3,2,3.5973000000000006
231,232,0.79,Very Good,H,VS1,63.7,56.0,2784,5.85,5.92,4,4,3.748745
232,233,0.72,Very Good,F,VS2,63.6,58.0,2787,5.66,5.69,3,2,3.6093000000000006
233,234,0.51,Ideal,F,VVS1,62.0,57.0,2787,5.11,5.15,6,2,3.1806000000000005
234,235,0.64,Ideal,D,VS1,61.5,56.0,2787,5.54,5.55,4,0,3.4101749999999997
235,236,0.7,Very Good,H,VVS1,60.5,60.0,2788,5.74,5.77,6,4,3.481775
236,237,0.83,Very Good,I,VS1,61.1,60.0,2788,6.07,6.1,4,5,3.7179349999999998
237,238,0.76,Ideal,I,VVS2,61.8,56.0,2788,5.85,5.87,5,5,3.6214799999999996
238,239,0.71,Good,D,VS2,63.3,56.0,2788,5.64,5.68,3,0,3.58278
239,240,0.77,Good,G,VS1,59.4,64.0,2788,5.97,5.92,4,3,3.53133
240,241,0.71,Ideal,F,SI1,62.5,55.0,2788,5.71,5.65,2,2,3.55
241,242,1.01,Fair,E,I1,64.5,58.0,2788,6.29,6.21,0,1,4.03125
242,243,1.01,Premium,H,SI2,62.7,59.0,2788,6.31,6.22,1,4,3.928155
243,244,0.77,Good,F,SI1,64.2,52.0,2789,5.81,5.77,2,2,3.7171799999999995
244,245,0.76,Good,E,SI1,63.7,54.0,2789,5.76,5.85,2,1,3.697785
245,246,0.76,Premium,E,SI1,60.4,58.0,2789,5.92,5.94,2,1,3.58172
246,247,0.76,Premium,E,SI1,61.8,58.0,2789,5.82,5.86,2,1,3.60912
247,248,1.05,Very Good,J,SI2,63.2,56.0,2789,6.49,6.45,1,6,4.089040000000001
248,249,0.81,Ideal,G,SI2,61.6,56.0,2789,5.97,6.01,1,3,3.6898400000000002
249,250,0.7,Ideal,E,SI1,61.6,56.0,2789,5.72,5.75,2,1,3.5327599999999997
250,251,0.55,Ideal,G,IF,60.9,57.0,2789,5.28,5.3,7,3,3.22161
251,252,0.81,Good,G,SI2,61.0,61.0,2789,5.94,5.99,1,3,3.6386499999999997
252,253,0.63,Premium,E,VVS2,62.1,57.0,2789,5.48,5.41,5,1,3.381345
253,254,0.63,Premium,E,VVS1,60.9,60.0,2789,5.55,5.52,6,1,3.370815
254,255,0.77,Premium,H,VS1,61.3,60.0,2789,5.9,5.88,4,4,3.6105700000000005
255,256,1.05,Fair,J,SI2,65.8,59.0,2789,6.41,6.27,1,6,4.17172
256,257,0.64,Ideal,G,IF,61.3,56.0,2790,5.54,5.58,7,3,3.4082800000000004
257,258,0.76,Premium,I,VVS1,58.8,59.0,2790,6.0,5.94,6,5,3.5103600000000004
258,259,0.83,Ideal,F,SI2,62.3,55.0,2790,6.02,6.05,1,2,3.759805
259,260,0.71,Premium,F,VS1,60.1,62.0,2790,5.77,5.74,4,2,3.458755
260,261,0.71,Premium,F,VS1,61.8,59.0,2790,5.73,5.69,4,2,3.5287800000000007
261,262,0.87,Very Good,I,SI1,63.6,55.8,2791,6.07,6.1,2,5,3.87006
262,263,0.73,Ideal,E,SI1,62.2,56.0,2791,5.74,5.78,2,1,3.5827199999999997
263,264,0.71,Premium,E,SI1,59.2,59.0,2792,5.83,5.86,2,1,3.4602400000000006
264,265,0.71,Premium,E,SI1,61.8,59.0,2792,5.7,5.75,2,1,3.5380499999999997
265,266,0.71,Ideal,E,SI1,61.3,55.0,2792,5.72,5.77,2,1,3.5216849999999993
266,267,0.7,Premium,F,VS1,62.1,60.0,2792,5.71,5.65,4,2,3.5272799999999997
267,268,0.7,Premium,F,VS1,60.7,60.0,2792,5.78,5.75,4,2,3.4993550000000004
268,269,0.76,Premium,H,VVS2,59.6,57.0,2792,5.91,5.86,5,4,3.5074599999999996
269,270,0.7,Ideal,F,VS1,62.2,56.0,2792,5.73,5.68,4,2,3.54851
270,271,0.79,Very Good,G,SI1,60.6,57.0,2793,5.98,6.06,2,3,3.6481199999999996
271,272,0.7,Very Good,E,VS2,62.9,57.0,2793,5.66,5.69,3,1,3.5695750000000004
272,273,0.7,Good,E,VS2,64.1,55.0,2793,5.6,5.66,3,1,3.6088299999999993
273,274,0.76,Ideal,I,VS2,61.3,56.0,2793,5.87,5.91,3,5,3.6105700000000005
274,275,0.73,Ideal,H,VS2,62.7,55.0,2793,5.72,5.76,3,4,3.59898
275,276,0.79,Very Good,E,SI1,63.2,56.0,2794,5.91,5.86,2,1,3.7193199999999997
276,277,0.71,Very Good,E,VS2,60.7,56.0,2795,5.81,5.82,3,1,3.5297049999999994
277,278,0.81,Premium,I,VVS2,61.9,60.0,2795,5.91,5.86,5,5,3.6428149999999997
278,279,0.81,Ideal,F,SI2,62.6,55.0,2795,5.92,5.96,1,2,3.7184399999999997
279,280,0.72,Good,F,VS1,60.7,60.0,2795,5.74,5.72,4,2,3.47811
280,281,0.72,Premium,D,SI2,62.0,60.0,2795,5.73,5.69,1,0,3.5402000000000005
281,282,0.72,Premium,I,IF,63.0,57.0,2795,5.72,5.7,7,5,3.5973
282,283,0.81,Premium,H,VS2,58.0,59.0,2795,6.17,6.13,3,4,3.567
283,284,0.72,Premium,G,VS2,62.9,57.0,2795,5.73,5.65,3,3,3.5790100000000002
284,285,1.0,Premium,I,SI2,58.2,60.0,2795,6.61,6.55,1,5,3.8295600000000007
285,286,0.73,Good,E,SI1,63.2,58.0,2796,5.7,5.76,2,1,3.62136
286,287,0.81,Very Good,H,SI2,61.3,59.0,2797,5.94,6.01,1,4,3.6626749999999997
287,288,0.81,Very Good,E,SI1,60.3,60.0,2797,6.07,6.1,2,1,3.6692549999999997
